Serial Number,Company Name,Employee Markme,Description,Leave,Phone,Address,Time in Role
9.79E+12,PREMCHAND KI SHRESTH SAMAJIK KAHANIYA,MUNSHI PREMCHAND,BHARTIYA GRANTH NIKETAN,0,,209 Sesame Street,2 Years 
9.79E+12,PREMCHAND KI YATHARTHVAADI KAHANIYA,MUNSHI PREMCHAND,BHARTIYA GRANTH NIKETAN,0,800-645-8989,210 Sesame Street,2 Years 
9.79E+12,APMark APMark AKASH,BHARAT CHANDRA SHARMA,BHARTIYA GRANTH NIKETAN,0,800-645-8990,211 Sesame Street,2 Years 
9.79E+12,GRAHMIYE JIWAN KI KAHANIYA,MUNSHI PREMCHAND,BHARTIYA GRANTH NIKETAN,1,800-645-8991,212 Sesame Street,2 Years 
9.79E+12,CHANDRAKAANTA,BABU DEVKIMarkNDAN KHATRI,BHARTIYA GRANTH NIKETAN,0,800-645-8992,213 Sesame Street,2 Years 
9.79E+12,THE CONCISE ENG. SANS. COMBIND DICTIOMarkRY,V.G. APTE,BHARTIYA GRANTH NIKETAN,0,800-645-8993,214 Sesame Street,2 Years 
9.79E+12,DAVDAS (H),Mark,BHARTIYA GRANTH NIKETAN,0,800-645-8994,215 Sesame Street,2 Years 
9.79E+12,PALI ENGLISH DICTIOMarkRY,T.W. RHYS DAVIDS,BHARTIYA GRANTH NIKETAN,0,800-645-8995,216 Sesame Street,2 Years 
9.79E+12,A PRACTICAL SANSKRIT DICTIOMarkRY,ARTHUR A. MACDONELL,BHARTIYA GRANTH NIKETAN,0,800-645-8996,217 Sesame Street,2 Years 
9.79E+12,THE PRACTICAL SANSKRIT ENGLISH DICTIOMarkRY,VAMAN SHIVRAM APTE,BHARTIYA GRANTH NIKETAN,0,800-645-8997,218 Sesame Street,2 Years 
9.79E+12,SANSKRIT GRAMMAR,WILLIAM,BHARTIYA GRANTH NIKETAN,0,800-645-8998,219 Sesame Street,2 Years 
9.79E+12,PREM CHAND KI MANOVAIGYANIC KAHANIYAN,PREM CHAND,BHARTIYA GRANTH NIKETAN,1,800-645-8999,220 Sesame Street,2 Years 
9.79E+12,NIRMALA (HINDI NOVEL),PREMCHAND,BHARTIYA GRANTH NIKETAN,0,800-645-9000,221 Sesame Street,2 Years 
9.79E+12,A SANSKRIT ENGLISH DICTIOMarkRY,SIR M. MONIER WILLIAMS,BHARTIYA GRANTH NIKETAN,0,800-645-9001,222 Sesame Street,2 Years 
9.79E+12,WHY I AM NOT A HINDU,Kancha Ilaiah,Bhatkal & Sen,1,800-645-9002,223 Sesame Street,2 Years 
9.79E+12,A GOOD GIRL,CHANDAMark ROY,BLACK INK,0,800-645-9003,224 Sesame Street,2 Years 
9.79E+12,MAKING OF BABAJI  INC...,SHRAVYA BHINDER,BLACK INK,0,800-645-9004,225 Sesame Street,2 Years 
9.78E+12,THE MISTRESS OF SPICES,CHITRA BANERJEE DIVAKARUNI,Black Swan,0,800-645-9005,226 Sesame Street,2 Years 
9.78E+12,A SHORT HISTORY OF NEARLY EVERYTHING,BILL BRYSON,Black Swan,1,800-645-9006,227 Sesame Street,2 Years 
9.78E+12,THE LIFE AND TIMES OF THE THUNDERBOLT KID,Bryson  Bill,Black Swan,0,800-645-9007,228 Sesame Street,2 Years 
9.78E+12,INTO THE WATER,HAWKINS% PAULA,Black Swan,0,800-645-9008,229 Sesame Street,2 Years 
9.78E+12,HARRY POTTER AND THE PHILOSPHERS STONE (GREEN)- SLYTHERIN,J K ROWLING,BLOOMS BURY,0,800-645-9009,230 Sesame Street,2 Years 
9.78E+12,HARRY POTTER AND THE PHILOSPHERS STONE (YELLOW)- HUGGLERPUFF,J K ROWLING,BLOOMS BURY,0,800-645-9010,231 Sesame Street,2 Years 
9.79E+12,EMOTIOMarkL INTELLIGENCE : WHY IT CAN MATTER MORE THAN IQ,DANIEL GOLEMAN,BLOOMS BURY,0,800-645-9011,232 Sesame Street,2 Years 
9.79E+12,CITIZEN DELHI MY TIMES% MY LIFE,SHEILA DIKSHIT,BLOOMS BURY,1,800-645-9012,,2 Years 
9.79E+12,LIGHTNING SHOWS THE WAY,J S MISHRA,BLOOMS BURY,0,800-645-9013,,2 Years 
9.79E+12,YOGA GURU TO SWADESHI WARRIOR,SANDEEP DEO,BLOOMS BURY,0,800-645-9014,,2 Years 
9.79E+12,OPERATION LEBENSRAUM: ILLEGAL MIGRATION FROM BANGLADESH,HIRANYA KUMAR BHATTACHARYYA,BLOOMS BURY,0,800-645-9015,,2 Years 
9.79E+12,JAN GAN KE RASHTRAPATI,S M KHAN,BLOOMS BURY,1,800-645-9016,,2 Years 
9.79E+12,THE MONK WHO BECAME CHIEF MINISTER,SHMarkTANU GUPTA,BLOOMS BURY,0,800-645-9017,,2 Years 
9.79E+12,HOME FIRE,KAMILA SHAMSIE,BLOOMS BURY,0,800-645-9018,,2 Years 
9.79E+12,INDIA'S GLOCAL LEADER,TEJASWINI PAGADALA,BLOOMS BURY,0,800-645-9019,,2 Years 
9.79E+12,VICTORIA & ABDUL,SHRABANI BASU,BLOOMS BURY,0,800-645-9020,,2 Years 
9.79E+12,MY ALLAHBAD STORY,HIMENDRA MarkTH VARMA,BLOOMS BURY,0,800-645-9021,,2 Years 
9.79E+12,BEAR GRYLLS FICTION SERIES BOX SET,BEAR GRYLLS,BLOOMS BURY,1,800-645-9022,,2 Years 
9.79E+12,AND THE MOUNTAINS ECHOED,KHALED HOSSEINI,BLOOMS BURY,0,800-645-9023,,2 Years 
9.79E+12,MACBETH BY SANDRA CLARK AND MASON,WILLIAM SHAKESPEAR,BLOOMS BURY,2,800-645-9024,,2 Years 
9.79E+12,THE VIRAT KOHLI STORY,VIJAY LOKAPALLY,BLOOMS BURY,0,800-645-9025,,2 Years 
9.79E+12,MODI SUTRA,HARISH CHANDRA,BLOOMS BURY,0,800-645-9026,,2 Years 
9.79E+12,JEET AAPKI (HINDI OF YOU CAN WIN),SHIV KHERA,BLOOMS BURY,10,800-645-9027,,2 Years 
9.79E+12,LIVING WITH HONOURS,Mark,BLOOMS BURY,0,800-645-9028,249 Sesame Street,2 Years 
9.79E+12,LIVING THE HONOUR-HINDI,SHIV KHERA,BLOOMS BURY,2,800-645-9029,250 Sesame Street,2 Years 
9.79E+12,YOU CAN WIN :A STEP BY STEP TOOL FOR TOP ACHIVERS,SHIV KHERA,BLOOMS BURY,7,800-645-9030,251 Sesame Street,2 Years 
9.79E+12,DESTRUCTIVE EMOTIONS,DANIEL GOLEMAN,BLOOMS BURY,0,800-645-9031,252 Sesame Street,2 Years 
9.79E+12,EMOTIOMarkL INTELLIGENCE,DANIEL GOLEMAN,BLOOMS BURY,2,800-645-9032,253 Sesame Street,2 Years 
9.79E+12,WORKING WITH EMOTIOMarkL INTELLIGENCE,Mark,BLOOMS BURY,1,800-645-9033,254 Sesame Street,2 Years 
9.78E+12,HOLES,LOUIS SACHAR,BLOOMS BURY,0,800-645-9034,255 Sesame Street,2 Years 
9.78E+12,RETURN OF A KING,NIL,BLOOMS BURY,0,800-645-9035,256 Sesame Street,2 Years 
9.78E+12,BASED ON A TRUE STORY,DELPHINE DE VIGAN,BLOOMS BURY,0,800-645-9036,257 Sesame Street,2 Years 
9.78E+12,AND THE MOUNTAINS ECHOED,KHALE HOSSEINI,BLOOMS BURY,2,800-645-9037,258 Sesame Street,2 Years 
9.78E+12,EAT%PRAY% LOVE,ELIZABETH GILBERT,BLOOMS BURY,0,800-645-9038,259 Sesame Street,2 Years 
9.78E+12,AND THE MOUNTAINS ECHOED,Mark,BLOOMS BURY,2,800-645-9039,260 Sesame Street,2 Years 
9.78E+12,THE KITE RUNNER,KHALED HISSEINI,BLOOMS BURY,2,800-645-9040,261 Sesame Street,2 Years 
9.78E+12,THE MAN WHO THOUGHT DIFFERENT,karen blumenthal,BLOOMS BURY,7,800-645-9041,262 Sesame Street,2 Years 
9.78E+12,FINKLER QUESTION,Mark,BLOOMS BURY,0,800-645-9042,263 Sesame Street,2 Years 
9.78E+12,A THOUSAND AD SPLENDID SUNS,"""Che"" Guevara",BLOOMS BURY,0,800-645-9043,264 Sesame Street,2 Years 
9.78E+12,THE SNOWBALL,WARREN BUFFETT,BLOOMS BURY,0,800-645-9044,265 Sesame Street,2 Years 
9.78E+12,KEY WORDS OF POPE FRANCIS,CINDY WOODEN,BLOOMS BURY,0,800-645-9045,266 Sesame Street,2 Years 
9.78E+12,NORSE MYTHOLOGY,NEIL GAIMAN,BLOOMS BURY,1,800-645-9046,267 Sesame Street,2 Years 
9.78E+12,THE EXILE,CATHY SCOTTCLARK & ADRIAN LEVY,BLOOMS BURY,0,800-645-9047,268 Sesame Street,2 Years 
9.78E+12,HOT FLAT & CROWDED,"""Che"" Guevara",BLOOMS BURY,0,800-645-9048,269 Sesame Street,2 Years 
9.78E+12,HOW TO TALK SO TEENS WILL LISTEN AND LISTEN SO TEEN WILL TALK,ADELE FABER,BLOOMS BURY,0,800-645-9049,270 Sesame Street,2 Years 
9.78E+12,HOW TO TALK SO KIDS CAN LEARN AT HOME AND IN SCHOOL,ADELE FABER,BLOOMS BURY,0,800-645-9050,271 Sesame Street,2 Years 
9.78E+12,THE DOUGHNUT RING,ALEXANDER MCCALL SMITH,BLOOMS BURY,0,800-645-9051,272 Sesame Street,2 Years 
9.79E+12,YOU CAN ACHIEVE MORE,SHIV KHERA,BLOOMS BURY,10,800-645-9052,273 Sesame Street,2 Years 
9.79E+12,PAPER TOWN (FILM TIE IN),Mark,BLOOMS BURY,2,800-645-9053,274 Sesame Street,2 Years 
9.79E+12,TWELFTH NIGHT,WILLIAM SHAKESPEAR,BLOOMS BURY,2,800-645-9054,275 Sesame Street,2 Years 
9.79E+12,THE HIDDEN DRIVE OF EXCLLENCE,Mark,BLOOMS BURY,0,800-645-9055,276 Sesame Street,2 Years 
9.79E+12,EMOTIOMarkL INTELIGENCE,GOLEMAN DANIL,BLOOMS BURY,0,800-645-9056,277 Sesame Street,2 Years 
9.78E+12,THE IMPULSE SOCIETY,PAUL ROBERTS,BLOOMS BURY,0,800-645-9057,278 Sesame Street,2 Years 
9.78E+12,PAPER TOWNS,PAPER TOWNS,BLOOMS BURY,0,800-645-9058,279 Sesame Street,2 Years 
9.78E+12,HRRY POTTER THE MAGICAL ADVENTURE BEGINS....,J K ROWLING,BLOOMSBURY,0,800-645-9059,280 Sesame Street,2 Years 
9.78E+12,THE COMPLETE KHALED HOSSEINI { 2 BOOKS A SET },KHALED HOSSEINI,BLOOMSBURY,0,800-645-9060,281 Sesame Street,2 Years 
9.78E+12,RETURN OF A KING.,WILLIAM DALRYMPLE,BLOOMSBURY,1,800-645-9061,282 Sesame Street,2 Years 
9.78E+12,TENTH OF DECEMBER,Mark,BLOOMSBURY,0,800-645-9062,283 Sesame Street,2 Years 
9.78E+12,A THOUSAND SPLENDID SUNS,KHALED HOSSEINI,BLOOMSBURY,2,800-645-9063,284 Sesame Street,2 Years 
9.78E+12,DARJEELING,JEFF KOEHLER,BLOOMSBURY,0,800-645-9064,285 Sesame Street,2 Years 
9.78E+12,UTOPIA FOR REALISTS,RUTGER BREGAMAN,BLOOMSBURY,1,800-645-9065,286 Sesame Street,2 Years 
9.78E+12,POLITICAL TRIBES,AMY CHUA,BLOOMSBURY,0,800-645-9066,287 Sesame Street,2 Years 
9.78E+12,SUPER BRAIN,DEEPAK,BLOOMSBURY,0,800-645-9067,288 Sesame Street,2 Years 
9.79E+12,FOCUS: THE HDDEN DRIVER OF EXCELLENCE,Mark,BLOOMSBURY,2,800-645-9068,289 Sesame Street,2 Years 
9.79E+12,WISDEN INDIA ALMAMACK  2017,Mark,BLOOMSBURY,0,800-645-9069,290 Sesame Street,2 Years 
9.79E+12,THE AGE OF KALI,Mark,BLOOMSBURY,0,800-645-9070,291 Sesame Street,2 Years 
9.79E+12,CITY OF DJINNS,Mark,BLOOMSBURY,1,800-645-9071,292 Sesame Street,2 Years 
9.79E+12,21ST CENTURY WORKFORCES AND WORKPLACES,STEPHEN BEVAN,BLOOMSBURY,0,800-645-9072,293 Sesame Street,2 Years 
9.79E+12,THE CONSTITUTION OF INDIA,ARUN K THIRUVENGADAM,BLOOMSBURY,0,800-645-9073,294 Sesame Street,2 Years 
9.79E+12,PRETTY VILE GIRL,RICKIE KHOSLA,BLOOMSBURY,0,800-645-9074,295 Sesame Street,2 Years 
9.79E+12,AMITABH BACHCHAN: REFLECTIONS ON A STAR IMAGE,SUSMITA DASGUPTA,BLOOMSBURY,0,800-645-9075,296 Sesame Street,2 Years 
9.79E+12,AND THE MOUNTAIN ECHOED,Mark,BLOOMSBURY,1,800-645-9076,297 Sesame Street,2 Years 
9.79E+12,GURUS OF CHAOS,SAURABH MUKHERJEA,BLOOMSBURY,1,800-645-9077,298 Sesame Street,2 Years 
9.78E+12,HARRY POTTER THE COMPLETE COLLECTION,Mark,BLOOMSBURY,1,800-645-9078,299 Sesame Street,2 Years 
9.78E+12,THE SILK ROADS,Mark,BLOOMSBURY PUBLISHING PLc%,0,800-645-9079,300 Sesame Street,2 Years 
9.78E+12,THE SECOND WORLD WAR,WINSTON CHURCHILL,BLOOMSBURY PUBLISHING PLc%,0,800-645-9080,301 Sesame Street,2 Years 
9.79E+12,THE DIARY OF A YOUNG GIRL,ANNE FRANK,BLUE BERRY BOOKS,1,800-645-9081,302 Sesame Street,2 Years 
9.79E+12,I CAN WRITE ALPHABET,Mark,BLUE BERRY BOOKS,4,800-645-9082,303 Sesame Street,2 Years 
9.79E+12,I CAN WRITE NUMBERS,Mark,BLUE BERRY BOOKS,2,800-645-9083,304 Sesame Street,2 Years 
9.79E+12,VIYANJAN GYAN { HINDI },,BLUE BERRY BOOKS,0,800-645-9084,305 Sesame Street,2 Years 
9.79E+12,MORAL STORIES (1),.,BLUE BERRY BOOKS,2,800-645-9085,306 Sesame Street,2 Years 
9.79E+12,MORAL STORIES (2),.,BLUE BERRY BOOKS,1,800-645-9086,307 Sesame Street,2 Years 
9.79E+12,MORAL STORIES (3),.,BLUE BERRY BOOKS,2,800-645-9087,308 Sesame Street,2 Years 
9.79E+12,MANTRA GYAN,"""Che"" Guevara",BLUE BERRY BOOKS,0,800-645-9088,309 Sesame Street,2 Years 
9.79E+12,MATH OLYMPIAD 5,Mark,BLUE BERRY BOOKS,0,800-645-9089,310 Sesame Street,2 Years 
9.79E+12,GRAMMER & VOCABULARY 2,Mark,BLUE BERRY BOOKS,0,800-645-9090,311 Sesame Street,2 Years 
9.79E+12,GRAMMAR & VOCABULARY 3,Mark,BLUE BERRY BOOKS,0,800-645-9091,312 Sesame Street,2 Years 
9.79E+12,GRAMMER & VOCABULARY 4,Mark,BLUE BERRY BOOKS,0,800-645-9092,313 Sesame Street,2 Years 
9.79E+12,GRAMMER & VOCABULARY 5,Mark,BLUE BERRY BOOKS,0,800-645-9093,314 Sesame Street,2 Years 
9.79E+12,GRAMMER & VOCABULARY 6,Mark,BLUE BERRY BOOKS,0,800-645-9094,315 Sesame Street,2 Years 
9.79E+12,ENGLISH OLYMPIAD-5,NILL,BLUE BERRY BOOKS,0,800-645-9095,316 Sesame Street,2 Years 
9.79E+12,MarkITIK KAHANIYAN 1,Mark,BLUE BERRY BOOKS,0,800-645-9096,317 Sesame Street,2 Years 
